FileFieldId	FileId	FieldName	DataType	Validation	SparkColType	ColumnLength	Mandatory
1	10000	ACCOUNTNO	varchar(19)	IFNULL	StringType()	19	TRUE
2	10000	CUSTOMERID	varchar(25)	IFNULL	StringType()	25	TRUE
3	10000	STATF_DECLINED_REISSUE	CHAR(1)	null	StringType()	1	FALSE
4	10000	STATF_REISSUE_OVERRIDE	CHAR(1)	null	StringType()	1	FALSE
5	10000	STATF_CREDIT_COUNSELING	CHAR(1)	IFNULL	StringType()	1	TRUE
6	10000	STATF_MEMO_POST_TODAY	CHAR(1)	null	StringType()	1	FALSE
7	10000	STATF_DEBIT_ACTV_TODAY	CHAR(1)	null	StringType()	1	FALSE
8	10000	STATF_CREDIT_ACTV_TODAY	CHAR(1)	null	StringType()	1	FALSE
9	10000	STATF_ACTIVE_TODAY	CHAR(1)	null	StringType()	1	FALSE
10	10000	STATF_REORDER_CHECK_TODAY	CHAR(1)	null	StringType()	1	FALSE
11	10000	STATF_ACTIVE_THIS_MONTH	CHAR(1)	null	StringType()	1	FALSE
12	10000	STATF_ACTIVE_THIS_YEAR	CHAR(1)	null	StringType()	1	FALSE
13	10000	STATF_ACTIVE_LAST_YEAR	CHAR(1)	null	StringType()	1	FALSE
14	10000	STATF_ACTIVE_SINCE_OPENED	CHAR(1)	null	StringType()	1	FALSE
15	10000	STATF_ACTIVE_THIS_CYCLE	CHAR(1)	null	StringType()	1	FALSE
16	10000	STATF_ADDR_CHNG_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
17	10000	STATF_PAYMENT_ACT_THIS_CY	CHAR(1)	null	StringType()	1	FALSE
18	10000	STATF_PAYMENT_REV_THIS_CY	CHAR(1)	null	StringType()	1	FALSE
19	10000	STATF_CASH_ACT_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
20	10000	STATF_CASH_REV_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
21	10000	STATF_PUR_ACT_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
22	10000	STATF_PUR_REV_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
23	10000	STATF_CREDIT_ACT_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
24	10000	STATF_CREDIT_REV_THIS_CYC	CHAR(1)	null	StringType()	1	FALSE
25	10000	STATF_CLI_THIS_CYCLE	CHAR(1)	null	StringType()	1	FALSE
26	10000	STATF_SOLDIER_SAILOR_ACT	CHAR(1)	null	StringType()	1	FALSE
27	10000	STATF_PD_LETTER_OVRIDE	CHAR(1)	null	StringType()	1	FALSE
28	10000	STATF_PD_NOTICE_OVRIDE	CHAR(1)	null	StringType()	1	FALSE
29	10000	STATF_PD_STMT_MSG_OVRIDE	CHAR(1)	null	StringType()	1	FALSE
30	10000	STATF_OL_LETTER_OVRIDE	CHAR(1)	null	StringType()	1	FALSE
31	10000	STATF_OL_NOTICE_OVRIDE	CHAR(1)	null	StringType()	1	FALSE
